CESU Name,Federal Agency,Fiscal Year,Award Number,Local Number,Partner,Location,Project Title,Type,Discipline,Initial Amount,Added Amount,Total Amount,Partner Principal Investigator First Name,Partner Principal Investigator Last Name,Federal Tech Rep First Name,Federal Tech Rep Last Name,Federal Project Lead First Name,Federal Project Lead Last Name,Students Involved,Sensitive Data,Description,Notes,Received Date,Reviewed Date,Approved Date,Start Date,End Date,Project Status,Awarding Office,Modification Status,Modification Number,Modification Type,Modification Approved Date,Deliverables Received,Files
Colorado Plateau (COPL),Bureau of Indian Affairs,2015,A15AC00081,,Northern Arizona University,,Facilitating Tribal Landscapes Change Adaption Planning,Technical Assistance,Natural,"$1,029,561.00","$643,935.00","$1,673,496.00",Ann Marie,Chischilly,Bernie,Toyekoyah,,,Yes,No,,,,,,7/1/15,9/30/19,,,,,,,,
Colorado Plateau (COPL),Bureau of Indian Affairs,2016,A16AC00066,,Northern Arizona University,,Vegetative Communities,Research/Technical Assistance,Natural,"$50,680.00",$0.00,"$50,680.00",Neil,Cobb,JoAnn,Metcalfe,,,Yes,No,,,,,,10/1/16,9/30/17,,,,,,,,
Colorado Plateau (COPL),Bureau of Indian Affairs,2018,A18AC00050,,Northern Arizona University,,Native American Graves Protection and Repatriation (NAGPRA),Research and Technical,Cultural,"$29,986.00","$151,221.00","$181,207.00",Kelley,Hays-Gilpin,Brian,Schoellkopf,,,Yes,Yes,,,,,,9/1/18,9/30/22,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,1999,JSA990027,,Northern Arizona University,,One Time Fee to Join CPCESU,Fee to Join,,"$10,000.00",$0.00,"$10,000.00",Henry,Hooper,,,,,No,No,,,,,,9/30/99,9/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,1999,NA13,,Northern Arizona University,,CESU Seed Money,Technical Assistance,Interdisciplinary,"$15,000.00",$47.00,"$15,047.00",Rod,Parnell,,,,,No,No,,"This project has been fixed a bit but the project numbers are strange in the paper file. I changed the number to jsa990018-000 because the task order number was Not on it.  In the hard file there is aNother jsa990018 awarded 28,000.00 for an organizational effectiveness study - that Not found in DB. TS",,,,6/9/99,9/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA001013-002,,Colorado State University,,"Spatial Interactions, Fuels, Wildfire and Invasive Plants",Research,Interdisciplinary,"$576,704.00","$76,163.00","$652,867.00",Eric,Berg,,,,,No,No,,,,,,11/20/00,9/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA001014-001,,Museum of Northern Arizona,GSENM,DiNosaur Excavation in the Grand Staircase-Escalante National Monument (GSENM),Research,Natural,"$18,859.00","$150,875.53","$169,734.53",David D.,Gillette-Colbert,,,,,No,No,,,,,,8/25/00,6/30/03,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA001019-001,,Fort Lewis College,,2000 Town Hall,Technical Assistance,Social,"$10,000.00",$0.00,"$10,000.00",Dean,Reeder,,,,,No,No,,,,,,8/30/00,12/31/01,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA001020-001,,The Arboretum at Flagstaff,,3rd Rare & Endangered Plant Conference,Technical Assistance,Natural,"$5,000.00",$0.00,"$5,000.00",Joyce,Maschinski,,,,,No,No,,"Updated TS, 9-12-07. In original DB there was No mention of the matching funds.",,,,8/30/00,12/30/01,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA001021-001,,Fort Lewis College,,Colorado Plateau Forum: Town Hall,Educational,Interdisciplinary,"$28,000.00",$0.00,"$28,000.00",Cheryl,Wiescamp,,,,,No,No,,,,,,8/3/00,11/30/00,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA990018-002,,Northern Arizona University,,Ponderosa Ecosystem Restoration (continuation of 4/12/00 - 12/31/00 agreement),Educational,Natural,"$410,000.00",$0.00,"$410,000.00",Wallace,Covington,,,,,No,No,,"The original award went from 10,000 to 410,000. The original award number was JSA990027-001. Phase 2 increased funding by 600,000 9/18/07. TS 9-12-07",,,,9/18/00,1/31/02,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA990018-003,,Northern Arizona University,,AnNotated Bibliography of Natural Resources (continuation of 09/28/00 -12/30/2001 agreement),Technical Assistance,Natural,"$25,000.00",$0.00,"$25,000.00",Rod,Parnell,,,,,No,No,,Did Not follow through all the mods because the project is old. TS. Task order closed out 9/30/2004,,,,9/28/00,9/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2000,JSA990019-001,,Northern Arizona University,GSENM,Grand Staircase/Escalante Permit Database/Human Impact Monitoring,Research,Interdisciplinary,"$12,095.00",$0.00,"$12,095.00",Pam,Foti,,,,,No,No,,"The assistance agreement from BLM says NTE $100,000.? Project activation from NAU says $12,095.",,,,9/1/99,9/30/04,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,2001-14,CA 2380-99-001,Utah State University,WRD,Physical Processes Important in the Formation & Maintenance of the Black Canyon of the Gunnison River,Research,Natural,"$3,500.00",$0.00,"$3,500.00",Elen,Wohl,,,,,No,No,,,,,,3/1/01,9/30/01,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001013-001,,Colorado State University,,"Landscape Assessment of Native and Exotic Plant Diversity & Cryptobiotic Crusts in the Grand Staircase-Escalante NM, Utah",Research,Interdisciplinary,"$510,000.00",$0.00,"$510,000.00",Walt,Fertig,,,,,No,No,,"A couple of mods are missing from the file. Did Not put in all mods because this project is old and there are many mods. TS. The project is complete, awaiting technical report, but weblink given for project see e-files.",,,,8/30/00,2/28/05,,,,,,,,
Colorado Plateau (COPL),Bureau of Land Management,2001,JSA001013-004,,Colorado State University,,Preliminary Study of the Respiratory Disease Status of Wild Horses & Burros and the Genetic Analysis of Wild Horse & Burro Blook Samples,Research,Natural,"$89,785.00","$78,832.52","$168,617.52",Mo D.,Salman,,,,,No,No,,,,,,7/30/01,3/30/03,,,,,,,,
