Federal Partner,FY,J Number,Award Number,Continuation of,Partner,Park/Location,Project Title,Key Official (last),Key Official (first),Investigator-L,Investigator-F,Start Date,Stop Date,Project Discipline,Partner Award,Match Amount,Award Amount,Current Funding Amount,Original Award Total,Annual Research & Design Rpt Code,CA Account Number,Account Number,Area/Org,Ext 1,Ext 2,Ext 3,PWE,Description,Fund Source,Project Product,Received,Sent to TIC,Notes,Electronic Version Received,Mod .1 Date,Mod .1 Amount,mod 1 match,Mod .1 Notes,Mod .2 Date,Mod .2 Amount,mod 2 match,Mod .2 Notes,Mod .3 Date,Mod .3 Amount,mod 3 match,Mod .3 Notes,Mod .4 Date,Mod .4 Amount,mod 4 match,Mod .4 Notes,Mod .5 Date,Mod .5 Amount,mod 5 match,Mod .5 Notes,Mod .6 Date,Mod .6 Amount,mod 6 match,Mod .6 Notes,Project Type,project supported students,Student Status,Sensitive Data,Funding Amount,NPS Closed,Principle Investigator Name,Key Official Name
United States Geological Survey (USGS),2016,,G16AC00030,,Northern Arizona University (NAU),,Genetic & Environmental Regulation of Functional Traits: New Approaches for Restoration in a Changing Climate,Wood,Troy,Butterfield,Brad,2016-02-01 00:00,2018-01-31 00:00,Natural,$0.00 ,$0.00 ,"$60,083.00 ","$60,083.00 ","$60,083.00 ",0,,G16AC00030,MPC-1002964,,,,,,,"Final report, updated geodatabase",,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Applied Research,0,,0,,0,Brad Butterfield,Troy Wood
Bureau of Land Management (BLM),2016,,L16AC00284,,Utah State University (USU),,CESU Managing Understories for Climate Change,,,Burton,Julia,2016-08-01 00:00,2018-07-31 00:00,Natural,$0.00 ,$0.00 ,"$53,973.50 ","$53,973.50 ","$53,973.50 ",0,,L16AC00284,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Applied Research,1,,0,,0,Julia Burton,Louisa Evers
United States Geological Survey (USGS),2017,,G17AC00095,,Northern Arizona University (NAU),,Completing the Dryland Puzzle:  Creating a Predictive Framework for Biological Soil Crust Function and Response to Climate Change,,,Bowker,Matt,2017-03-06 00:00,2018-03-05 00:00,,"$50,000.00 ",$0.00 ,"$50,000.00 ","$50,000.00 ","$50,000.00 ",0,,,FOR-1003246,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,,0,,0,Matt Bowker,
United States Geological Survey (USGS),2017,,G17AC00033,,Northern Arizona University (NAU),,"Informing Future Decision-Making on Uranium Mining:  A Coordinated Approach to Monitor and Assess Potential Environmental Impacts from  Uranium Exploration and Mining on Federal Lands in the Grand Canyon Region, Arizona",,,Springer,Abe,2017-01-02 00:00,2018-01-01 00:00,,"$36,994.00 ",$0.00 ,"$36,994.00 ","$36,994.00 ","$36,994.00 ",0,,,1003201,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Abe Springer,
United States Geological Survey (USGS),2017,,G17AC00054,,Northern Arizona University (NAU),,Investigate the Use of Remote Sensing to Detect and Map Potential Ground Water Resources in Eastern Africa,,,Chavez,Pat,2017-01-17 00:00,2018-01-16 00:00,,"$270,179.00 ",$0.00 ,"$270,179.00 ","$270,179.00 ","$270,179.00 ",0,,,1003215,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Pat Chavez,
United States Geological Survey (USGS),2017,,G17AC00413,,Northern Arizona University (NAU),,Economic Value of Water Ecosystem Services Support by Health Forests in Northern New Mexico,,,Mueller,Julie,2017-09-01 00:00,2018-08-31 00:00,,"$184,933.00 ",$0.00 ,"$184,933.00 ","$184,933.00 ","$184,933.00 ",0,,,1003439,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,Julie Mueller,
United States Geological Survey (USGS),2017,,G17AC00142,,Conservation Science Partners (CSP),,Assessing Multi-Temporal Climate and Vegetation Monitoring Data to Estimate Climate Sensitivity of Mountain Meadows of the Sierra Nevada Ecoregion,,,Albano & McClure,Christine & Meredith,2017-05-01 00:00,2017-09-30 00:00,Natural,"$10,000.00 ",$0.00 ,"$10,000.00 ","$10,000.00 ","$10,000.00 ",0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,,0,,0,C. Albano & M. McClure,Christopher Soulard
United States Geological Survey (USGS),2017,,G17AC00246,,University of New Mexico (UNM),,USGS Earth Science Data information,,,,,2017-06-21 00:00,2018-06-20 00:00,,"$132,000.00 ",$0.00 ,"$132,000.00 ","$132,000.00 ","$132,000.00 ",0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
United States Geological Survey (USGS),2017,,G17AC00272,,University of New Mexico (UNM),,Hybridization/Introgression within and among Mesocarnivor Species,,,,,2017-07-15 00:00,2018-07-14 00:00,,"$10,405.00 ",$0.00 ,"$10,405.00 ","$10,405.00 ","$10,405.00 ",0,,,,,,,,,,,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,0,,0,,0,,
National Park Service (NPS),2016,P16AC01504,P16AC01504,,Utah State University (USU),GLBA,Glacier Bay NP Backcountry/Wilderness Visitor Use Study,Sharman,Lewis,Monz,Chris,2016-09-15 00:00,2018-12-31 00:00,,$0.00 ,$0.00 ,"$56,261.00 ","$56,261.00 ",$0.00 ,0,,,,,,,,,,Survey and database,,,,0,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,Research,1,,0,,0,Chris Monz,Lewis Sharman
