Location,Acronym,Notes
Abraham Lincoln Birthplace NHS,ABLI,
Acadia NP,ACAD,
Adams National Historical Park,ADAM,
Administration,ADM,
Agate Fossil Beds NM,AGFO,
Agua Fria NM,AGFR,
Alaska Region,AKRO,
Alaska Support Office,AKSO,
Alagnak Wild River,ALAG,
Alibates Flint Quarries NM,ALFL,
Allegheny Portage Railroad NHS,ALPO,
Amistad National Recreation Area,AMIS,
American Memorial Park,AMME,
Alaska Public Lands Info Ctr - Anchorage,ANCH,
Andersonville NHS,ANDE,
Aniakchak Npres and NM,ANIA,
Andrew Johnson NHS,ANJO,
Antietam National Cemetery,ANTC,
Antietam NB,ANTI,
Appomattox Court House NHP,APCO,
Apostle Islands NL,APIS,
Appalachian NST,APPA,
Arches NP,ARCH,
Air Resources Division,ARD,
"Arlington House, The Robert E. Lee Mem",ARHO,
Arizona Strip Field Office,Arizona Strip Field Office,
Alaska Regional Office,ARO,
Arkansas Post NMem,ARPO,
Assateague Island NS,ASIS,
Avon Air Force Range,Avon AF Range,Correct record(s) of Avon AF to Avon AF Ranger
,,
Avon Park,Avon Park,
Arizona,AZ,
Aztec Ruins NM,AZRU,
Badlands NP,BADL,
Bandelier NM,BAND,
Barksdale,Barksdale,
Baltimore-Washington Parkway,BAWA,
Beaver Dam,Beaver Dam,
Benjamin Franklin NM,BEFR,
Bering Land Bridge Npres,BELA,
Bent's Old Fort NHS,BEOL,
Bureau of Indian Affairs,BIA,
Big Bend NP,BIBE,
Bighorn Canyon NRA,BICA,
Big Cypress Npres,BICY,
Big Hole NB,BIHO,
Biscayne NP,BISC,
Big South Fork NRRA,BISO,
Big Thicket National Preserve,BITH,
Blackstone River Valley National Heritage Corridor,BLAC,
Black Canyon of the Gunnison NP,BLCA,
BLM Lands,BLM Lands,
BLM Lands on Colorado Plateau,BLM Lands on CP,
Blue Ridge Parkway,BLRI,
Bluestone NSR,BLUE,
Boston African-American NHS,BOAF,
Boston Harbor Islands NRA,BOHA,
Book Cliffs of Eastern Utah,Book Cliffs of Eastern Utah,
Boston Support Office,BOSO,
Boston NHP,BOST,
Booker T. Washington NM,BOWA,
Bryce Canyon NP,BRCA,
Brices Cross Roads NBS,BRCR,
Biological Resources Management Division,BRMD,
Brown v. Board of Education NHS,BRVB,
Buffalo National River,BUFF,
Buck Island Reef NM,BUIS,
Cabrillo NM,CABR,
Canyon de Chelly NM,CACH,
Castle Clinton NM,CACL,
Cape Cod NS,CACO,
Casa Grande Ruins NM,CAGR,
Cape Hatteras NS,CAHA,
Central Alaska Inventory and Monitoring Network,CAKN,
Cape Krusenstern NM,CAKR,
California NHT,CALI,
Cape Lookout NS,CALO,
Canaveral NS,CANA,
Canyonlands NP,CANY,
Capulin Volcano NM,CAVO,Correct record(s) from CAPU to CAVO
Capitol Reef NP,CARE,
Cane River Creole NHP,CARI,
Carl Sandburg Home NHS,CARL,
Castillo de San Marcos NM,CASA,
Catoctin Mountain Park,CATO,
Carlsbad Caverns NP,CAVE,
,,
Columbia Cascades Support Office,CCSO,
Cedar Breaks NM,CEBR,
BLM Cedar City Field Office,Cedar City Field Office,
Cooperative Ecosystem Studies Unit,CESU,
Chamizal NMem,CHAM,
Chattahoochee River NRA,CHAT,
Chickamauga & Chattanooga NMP,CHCH,
Chaco Culture NHP,CHCU,
Chihuahuan Desert Inventory and Monitoring Network,CHDN,
Chickasaw NRA,CHIC,
Chiricahua NM,CHIR,
Channel Islands NP,CHIS,
Chesapeake & Ohio Canal NHP,CHOH,
Charles Pinckney NHS,CHPI,
Chicago Portage NHS,CHPO,
Christiansted NHS,CHRI,
City of Rocks N RES,CIRO,
Clara Barton NHS,CLBA,
Claude Moore Colonial Farm,CMCO,
Colorado,CO,
Colorado Plateau,CO Plateau,
Colorado River,CO River,
Colorado River Corridor,CO River Corridor,
,CO River from Southern CP to Mohave Desert,
Cockleburr & W. Brush Creek,Cockleburr & W. Brush Creek,
Lake Roosevelt NRA,CODA,
Colorado NM,COLM,
Colonial NHP,COLO,
BLM Color Country District UT,Color Country District UT,
Colorado Canyon NCA,Colorado Canyon NCA,
Coronado NMem,CORO,
Congaree Swamp NM,COSW,
Cowpens NB,COWP,
Colorado Plateau Cooperative Ecosystem Studies Unit,CPCESU,
